API Number,Trajectory ID,Measured Depth,Inclination,Azimuth,True Vertical Depth,N_S,E_W,Latitude,Longitude
423013415700,371841,0.00,0.00,0.00,0.00000,0.00,0.00,31.728753800,-103.581711300
423013415700,371841,195.00,0.60,258.06,194.99644,-0.24,-0.99,31.728753060,-103.581714460
423013415700,371841,257.00,0.67,248.07,256.99264,-0.46,-1.64,31.728752390,-103.581716530
423013415700,371841,350.00,0.58,181.59,349.98820,-1.15,-2.13,31.728750460,-103.581718060
423013415700,371841,444.00,1.34,179.35,443.97432,-2.72,-2.09,31.728746140,-103.581717770
423013415700,371841,538.00,5.18,177.37,537.80467,-8.05,-1.72,31.728731520,-103.581716100
423013415700,371841,636.00,6.54,172.75,635.29080,-17.98,-0.53,31.728704340,-103.581711320
423013415700,371841,731.00,7.18,173.28,729.61022,-29.19,1.17,31.728673650,-103.581704780
423013415700,371841,826.00,6.90,172.71,823.89391,-40.70,2.92,31.728642170,-103.581698060
423013415700,371841,909.00,7.42,176.90,906.24696,-50.97,4.14,31.728614060,-103.581693170
423013415700,371841,1003.00,7.92,178.98,999.40585,-63.49,4.95,31.728579720,-103.581689390
423013415700,371841,1098.00,7.42,176.17,1093.55594,-76.13,5.85,31.728545050,-103.581685320
423013415700,371841,1193.00,7.44,175.51,1187.75830,-88.35,7.10,31.728511570,-103.581680160
423013415700,371841,1288.00,7.56,178.80,1281.94599,-100.71,8.07,31.728477690,-103.581675880
423013415700,371841,1383.00,7.70,175.82,1376.10522,-113.28,9.03,31.728443220,-103.581671600
423013415700,371841,1478.00,7.89,175.91,1470.22735,-126.10,10.33,31.728408100,-103.581666210
423013415700,371841,1573.00,7.92,176.09,1564.32461,-139.10,11.62,31.728372480,-103.581660840
423013415700,371841,1667.00,8.34,174.54,1657.37979,-152.31,13.10,31.728336300,-103.581654850
423013415700,371841,1762.00,8.29,175.86,1751.38123,-165.96,14.65,31.728298920,-103.581648590
423013415700,371841,1857.00,8.35,174.89,1845.38143,-179.63,16.16,31.728261490,-103.581642460
423013415700,371841,1952.00,8.28,173.29,1939.38291,-193.24,17.97,31.728224220,-103.581635360
423013415700,371841,2047.00,8.29,172.91,2033.39145,-206.78,20.01,31.728187190,-103.581627530
423013415700,371841,2142.00,8.20,173.66,2127.40954,-220.26,22.00,31.728150310,-103.581619880
423013415700,371841,2236.00,8.03,172.90,2220.46829,-233.38,23.93,31.728114400,-103.581612420
423013415700,371841,2331.00,7.77,173.33,2314.56661,-246.30,25.87,31.728079070,-103.581604960
423013415700,371841,2426.00,7.38,173.57,2408.73738,-258.69,27.66,31.728045160,-103.581598040
423013415700,371841,2521.00,6.95,176.55,2502.99565,-270.46,29.04,31.728012940,-103.581592520
423013415700,371841,2616.00,8.08,173.17,2597.17860,-282.78,30.54,31.727979180,-103.581586540
423013415700,371841,2710.00,7.67,175.63,2690.29218,-295.56,32.17,31.727944220,-103.581580080
423013415700,371841,2805.00,1.17,176.61,2784.95887,-302.83,32.93,31.727924280,-103.581576970
423013415700,371841,2900.00,7.79,167.79,2879.61646,-310.06,34.56,31.727904560,-103.581571050
423013415700,371841,2995.00,8.06,164.45,2973.70957,-322.67,38.08,31.727870190,-103.581558560
423013415700,371841,3090.00,7.60,169.46,3067.82471,-335.17,41.38,31.727836100,-103.581546780
423013415700,371841,3185.00,7.70,169.52,3161.97917,-347.53,44.04,31.727802340,-103.581537040
423013415700,371841,3279.00,8.69,165.93,3255.01877,-360.53,47.30,31.727766910,-103.581525360
423013415700,371841,3469.00,7.83,165.02,3443.04608,-386.74,54.90,31.727695480,-103.581498460
423013415700,371841,3564.00,7.13,164.66,3537.23709,-398.58,58.48,31.727663240,-103.581485840
423013415700,371841,3659.00,6.41,165.07,3631.57407,-409.30,61.72,31.727634040,-103.581474420
423013415700,371841,3849.00,5.68,160.44,3820.51743,-428.23,68.15,31.727582550,-103.581451950
423013415700,371841,3943.00,6.99,165.36,3913.94210,-438.05,71.44,31.727555810,-103.581440450
423013415700,371841,4039.00,7.96,165.12,4009.12513,-450.03,74.98,31.727523180,-103.581427960
423013415700,371841,4134.00,8.16,162.51,4103.18697,-462.71,79.06,31.727488680,-103.581413630
423013415700,371841,4309.00,7.48,158.54,4276.55981,-484.91,87.61,31.727428340,-103.581384060
423013415700,371841,4404.00,6.85,158.16,4370.81749,-495.79,92.30,31.727398820,-103.581367960
423013415700,371841,4498.00,8.62,164.60,4463.96025,-507.67,96.61,31.727366530,-103.581353010
423013415700,371841,4688.00,9.58,161.87,4651.56756,-536.16,106.14,31.727289020,-103.581319680
423013415700,371841,4783.00,9.61,162.31,4745.23858,-551.08,111.45,31.727248450,-103.581301210
423013415700,371841,4878.00,10.06,161.16,4838.84229,-566.33,116.98,31.727206980,-103.581281980
423013415700,371841,4973.00,9.58,161.33,4932.45012,-581.51,122.64,31.727165710,-103.581262380
423013415700,371841,5068.00,10.08,163.85,5026.05553,-596.84,127.93,31.727124020,-103.581243920
423013415700,371841,5162.00,10.03,162.61,5118.61185,-612.41,133.12,31.727081650,-103.581225770
423013415700,371841,5257.00,10.62,177.52,5212.08994,-628.96,136.46,31.727036440,-103.581213500
423013415700,371841,5352.00,10.10,177.09,5305.54087,-646.00,137.76,31.726989730,-103.581207720
423013415700,371841,5447.00,9.83,176.59,5399.10760,-662.38,139.14,31.726944830,-103.581201740
423013415700,371841,5542.00,9.92,173.78,5492.70065,-678.56,140.98,31.726900510,-103.581194300
423013415700,371841,5637.00,9.69,173.86,5586.31292,-694.59,143.19,31.726856650,-103.581185690
423013415700,371841,5732.00,10.44,171.88,5679.85050,-710.99,145.74,31.726811780,-103.581175950
423013415700,371841,5827.00,10.83,170.93,5773.21856,-728.24,148.87,31.726764630,-103.581164280
423013415700,371841,5921.00,11.08,169.63,5865.50564,-745.75,152.40,31.726716790,-103.581151280
423013415700,371841,6016.00,10.77,167.25,5958.78424,-763.28,156.51,31.726668970,-103.581136410
423013415700,371841,6111.00,11.15,167.61,6052.05129,-780.78,160.95,31.726621220,-103.581120480
423013415700,371841,6206.00,10.46,164.60,6145.36722,-797.94,165.72,31.726574470,-103.581103560
423013415700,371841,6301.00,10.29,163.55,6238.81403,-814.24,170.89,31.726530070,-103.581085410
423013415700,371841,6395.00,9.78,164.80,6331.37578,-829.86,175.82,31.726487540,-103.581068100
423013415700,371841,6490.00,9.63,161.30,6425.01701,-845.04,180.92,31.726446270,-103.581050250
423013415700,371841,6585.00,9.20,158.00,6518.73778,-859.44,186.74,31.726407150,-103.581030210
423013415700,371841,6680.00,8.25,155.63,6612.63765,-872.52,192.78,31.726371690,-103.581009550
423013415700,371841,6775.00,8.74,169.81,6706.60550,-885.71,197.25,31.726335810,-103.580993930
423013415700,371841,6869.00,8.39,172.28,6799.55734,-899.46,199.84,31.726298220,-103.580984320
423013415700,371841,6964.00,8.02,173.26,6893.58478,-912.86,201.94,31.726261590,-103.580976310
423013415700,371841,7059.00,7.33,173.46,6987.73317,-925.41,203.78,31.726227240,-103.580969230
423013415700,371841,7154.00,7.30,170.75,7081.96026,-937.34,205.78,31.726194630,-103.580961650
423013415700,371841,7249.00,7.37,169.90,7176.18286,-949.23,208.17,31.726162150,-103.580952870
423013415700,371841,7344.00,7.26,177.09,7270.41166,-961.18,209.89,31.726129450,-103.580946210
423013415700,371841,7439.00,7.92,181.64,7364.57967,-973.71,210.38,31.726095060,-103.580943480
423013415700,371841,7534.00,7.73,183.83,7458.69525,-986.63,210.14,31.726059520,-103.580943030
423013415700,371841,7629.00,7.27,183.54,7552.88226,-999.03,209.70,31.726025430,-103.580943270
423013415700,371841,7724.00,8.13,183.66,7647.02478,-1011.75,209.27,31.725990440,-103.580943450
423013415700,371841,7818.00,7.04,183.39,7740.20089,-1024.15,208.87,31.725956330,-103.580943590
423013415700,371841,7913.00,8.33,183.71,7834.34564,-1036.85,208.45,31.725921410,-103.580943740
423013415700,371841,8008.00,7.67,180.61,7928.42103,-1050.06,208.32,31.725885080,-103.580942910
423013415700,371841,8103.00,6.31,178.16,8022.71293,-1061.61,208.76,31.725853380,-103.580940420
423013415700,371841,8198.00,7.24,182.56,8117.04916,-1072.81,208.98,31.725822630,-103.580938640
423013415700,371841,8293.00,7.80,179.15,8211.23219,-1085.23,209.18,31.725788500,-103.580936870
423013415700,371841,8388.00,6.61,173.27,8305.48164,-1097.08,210.26,31.725756020,-103.580932270
423013415700,371841,8482.00,7.28,178.21,8398.79224,-1108.38,211.41,31.725725070,-103.580927520
423013415700,371841,8577.00,8.85,176.38,8492.84986,-1121.67,212.44,31.725688650,-103.580922930
423013415700,371841,8672.00,7.72,164.66,8586.86363,-1135.05,214.99,31.725652090,-103.580913510
423013415700,371841,8767.00,7.20,165.10,8681.05921,-1146.86,218.55,31.725619930,-103.580900940
423013415700,371841,8862.00,7.89,163.86,8775.23620,-1158.77,222.24,31.725587490,-103.580887950
423013415700,371841,8957.00,7.47,167.89,8869.38452,-1170.97,225.71,31.725554220,-103.580875670
423013415700,371841,9052.00,8.60,179.47,8963.45657,-1184.07,227.45,31.725518380,-103.580868830
423013415700,371841,9147.00,8.66,179.71,9057.38098,-1198.32,227.97,31.725479270,-103.580865830
